Sex;Length;Diameter;Height;Whole;Shucked;Viscera;Shellweight;Rings
M;0.455;0.365;0.095;0.514;medio;0.101;0.15;15
M;0.35;0.265;0.09;0.2255;medio;0.0485;0.07;7
F;0.53;0.42;0.135;0.677;medio;0.1415;0.21;9
M;0.44;0.365;0.125;0.516;medio;0.114;0.155;10
I;0.33;0.255;0.08;0.205;medio;0.0395;0.055;7
I;0.425;0.3;0.095;0.3515;medio;0.0775;0.12;8
F;0.53;0.415;0.15;0.7775;medio;0.1415;0.33;20
F;;0.425;0.125;0.768;medio;0.1495;0.26;16
M;0.475;0.37;0.125;0.5095;medio;0.1125;0.165;9
F;0.55;0.44;0.15;0.8945;medio;0.151;0.32;19
F;0.525;0.38;0.14;0.6065;medio;0.1475;0.21;14
M;0.43;0.35;0.11;0.406;medio;0.081;0.135;10
M;0.49;0.38;0.135;0.5415;medio;0.095;0.19;11
F;0.535;0.405;0.145;0.6845;medio;0.171;0.205;10
F;;0.355;0.1;0.4755;medio;0.0805;0.185;10
M;0.5;0.4;0.13;0.6645;medio;0.133;0.24;12
I;0.355;0.28;0.085;0.2905;medio;0.0395;0.115;7
F;0.44;0.34;0.1;0.451;medio;0.087;0.13;10
M;0.365;0.295;0.08;0.2555;medio;0.043;0.1;7
M;0.45;0.32;0.1;0.381;medio;0.075;0.115;9
M;0.355;0.28;0.095;0.2455;medio;0.062;0.075;11
I;0.38;0.275;0.1;0.2255;medio;0.049;0.085;10
F;0.565;0.44;0.155;0.9395;medio;0.214;0.27;12
F;0.55;0.415;0.135;0.7635;medio;0.21;0.2;9
F;0.615;0.48;0.165;1.1615;pesado;0.301;0.305;10
F;0.56;0.44;0.14;0.9285;medio;0.188;0.3;11
F;0.58;0.45;0.185;0.9955;medio;0.272;0.285;11
M;0.59;0.445;0.14;0.931;medio;0.234;0.28;12
M;0.605;0.475;0.18;0.9365;medio;0.219;0.295;15
M;0.575;0.425;0.14;0.8635;medio;0.227;0.2;11
M;0.58;0.47;0.165;0.9975;medio;0.242;0.33;10
F;0.68;0.56;0.165;1.639;pesado;0.2805;0.46;15
M;0.665;0.525;0.165;1.338;pesado;0.3575;0.35;18
F;0.68;0.55;0.175;1.798;pesado;0.3925;0.455;19
F;0.705;0.55;0.2;1.7095;pesado;0.4115;0.49;13
M;0.465;0.355;0.105;0.4795;medio;0.124;0.125;8
F;0.54;0.475;0.155;1.217;pesado;0.3075;0.34;16
F;0.45;0.355;0.105;0.5225;medio;0.1165;0.145;8
F;0.575;0.445;0.135;0.883;medio;0.2035;0.26;11
M;0.355;0.29;0.09;0.3275;medio;0.086;0.09;9
F;0.45;0.335;0.105;0.425;medio;0.091;0.115;9
F;0.55;0.425;0.135;0.8515;medio;0.196;0.27;14
I;0.24;0.175;0.045;0.07;medio;0.0235;0.02;5
I;0.205;0.15;0.055;0.042;medio;0.015;0.012;5
I;0.21;0.15;0.05;0.042;medio;0.0125;0.015;4
I;0.39;0.295;0.095;0.203;medio;0.045;0.075;7
M;0.47;0.37;0.12;0.5795;medio;0.227;0.14;9
F;0.46;0.375;0.12;0.4605;medio;0.11;0.15;7
I;0.325;0.245;0.07;0.161;medio;0.0255;0.045;6
F;0.525;0.425;0.16;0.8355;medio;0.2135;0.245;9
I;0.52;0.41;0.12;0.595;medio;0.111;0.19;8
M;0.4;0.32;0.095;0.303;medio;0.06;0.1;7
M;0.485;0.36;0.13;0.5415;medio;0.096;0.16;10
F;0.47;0.36;0.12;0.4775;medio;0.1055;0.15;10
M;0.405;0.31;0.1;0.385;medio;0.0915;0.11;7
F;0.5;0.4;0.14;0.6615;medio;0.1755;0.22;8
M;0.445;0.35;0.12;0.4425;medio;0.0955;0.135;8
M;0.47;0.385;0.135;0.5895;medio;0.12;0.17;8
I;0.245;0.19;0.06;0.086;medio;0.014;0.025;4
F;0.505;0.4;0.125;0.583;medio;0.13;0.175;7
M;0.45;0.345;0.105;0.4115;medio;0.1125;0.135;7
M;0.505;0.405;0.11;0.625;medio;0.16;0.175;900
F;0.53;0.41;0.13;0.6965;medio;0.1935;0.2;10
M;0.425;0.325;0.095;0.3785;medio;0.08;0.1;7
M;0.52;0.4;0.12;0.58;medio;0.1315;0.185;8
M;0.475;0.355;0.12;0.48;medio;0.1015;0.135;8
F;0.565;0.44;0.16;0.915;medio;0.1935;0.32;12
F;0.595;0.495;0.185;1.285;medio;0.224;0.485;13
F;0.475;0.39;0.12;0.5305;medio;0.1155;0.17;10
I;0.31;0.235;0.07;0.151;medio;0.0405;0.045;6
M;0.555;0.425;0.13;0.7665;medio;0.168;0.275;13
F;0.4;0.32;0.11;0.353;medio;0.0985;0.1;8
F;0.595;0.475;0.17;1.247;medio;0.225;0.425;20
M;0.57;0.48;0.175;1.185;medio;0.261;0.38;11
F;0.605;0.45;0.195;1.098;medio;0.2895;0.315;13
F;0.6;0.475;0.15;1.0075;medio;0.221;0.28;15
M;0.595;0.475;0.14;0.944;medio;0.189;0.315;9
F;0.6;0.47;0.15;0.922;medio;0.194;0.305;10
F;0.555;0.425;0.14;0.788;medio;0.1595;0.285;11
F;0.615;0.475;0.17;1.1025;medio;0.2355;0.345;10
F;0.575;0.445;0.14;0.941;medio;0.252;0.285;9
M;0.62;0.51;0.175;1.615;pesado;0.192;0.675;12
F;;0.425;0.165;0.9885;medio;0.225;0.32;16
M;0.595;0.475;0.16;1.3175;medio;0.234;0.58;21
M;0.58;0.45;0.14;1.013;medio;0.216;0.36;14
F;0.57;0.465;0.18;1.295;medio;0.2225;0.44;12
M;0.625;0.465;0.14;1.195;medio;0.205;0.4;13
M;0.56;0.44;0.16;0.8645;medio;0.2075;0.26;10
F;0.46;0.355;0.13;0.517;medio;0.114;0.165;9
F;0.575;0.45;0.16;0.9775;medio;0.231;0.33;12
M;0.565;0.425;0.135;0.8115;medio;0.1675;0.255;15
M;0.555;0.44;0.15;0.755;medio;0.1525;0.26;12
M;0.595;0.465;0.175;1.115;medio;0.254;0.39;13
F;0.625;0.495;0.165;1.262;pesado;0.318;0.39;10
M;0.695;0.56;0.19;1.494;pesado;0.3425;0.485;15
M;0.665;0.535;0.195;1.606;pesado;0.388;0.48;14
M;0.535;0.435;0.15;0.725;medio;0.1385;0.25;9
M;0.47;0.375;0.13;0.523;medio;0.132;0.145;8
M;0.47;0.37;0.13;0.5225;medio;0.133;0.165;7
F;0.475;0.375;0.125;0.5785;medio;0.085;0.155;10
I;0.36;0.265;0.095;0.2315;medio;0.046;0.075;7
M;0.55;0.435;0.145;0.843;medio;0.1915;0.255;15
M;0.53;0.435;0.16;0.883;medio;0.164;0.335;15
M;0.53;0.415;0.14;0.724;medio;0.1675;0.205;10
M;0.605;0.47;0.16;1.1735;medio;0.2405;0.345;12
F;0.52;0.41;0.155;0.727;medio;0.1835;0.235;12
F;0.545;0.43;0.165;0.802;medio;0.183;0.28;11
F;0.5;0.4;0.125;0.6675;medio;0.1315;0.22;10
F;0.51;0.39;0.135;0.6335;medio;0.179;0.2;9
F;0.435;0.395;0.105;0.3635;medio;0.098;0.13;9
M;0.495;0.395;0.125;0.5415;medio;0.1345;0.155;9
M;0.465;0.36;0.105;0.431;medio;0.107;0.175;9
I;0.435;0.32;0.08;0.3325;medio;0.0635;0.105;9
M;0.425;0.35;0.105;0.393;medio;0.063;0.165;9
F;0.545;0.41;0.125;0.6935;medio;0.146;0.21;11
F;0.53;0.415;0.115;0.5915;medio;0.1585;0.18;11
F;0.49;0.375;0.135;0.6125;medio;0.102;0.22;11
M;0.44;0.34;0.105;0.402;medio;0.0955;0.165;10
F;0.56;0.43;0.15;0.8825;medio;0.172;0.31;9
M;0.405;0.305;0.085;0.2605;medio;0.0595;0.085;8
F;0.47;0.365;0.105;0.4205;medio;0.1035;0.14;9
I;0.385;0.295;0.085;0.2535;medio;0.0575;0.085;7
F;0.515;0.425;0.14;0.766;medio;0.1725;0.255;14
M;0.37;0.265;0.075;0.214;medio;0.051;0.07;6
I;0.36;0.28;0.08;0.1755;medio;0.0505;0.07;6
I;0.27;0.195;0.06;0.073;medio;0.0235;0.03;5
I;0.375;0.275;0.09;0.238;medio;0.0545;0.07;6
I;0.385;0.29;0.085;0.2505;medio;0.061;0.08;8
M;0.7;0.535;0.16;1.7255;pesado;0.2635;0.54;19
M;0.71;0.54;0.165;1.959;pesado;0.261;0.78;18
M;0.595;0.48;0.165;1.262;medio;0.283;0.41;17
F;0.44;0.35;0.125;0.4035;medio;0.063;0.129;9
F;0.325;0.26;0.09;0.1915;medio;0.036;0.062;7
I;0.35;0.26;0.095;0.211;medio;0.056;0.068;7
I;0.265;0.2;0.065;0.0975;medio;0.0205;0.028;7
F;0.425;0.33;0.115;0.406;medio;0.081;0.1355;8
F;0.305;0.23;0.08;0.156;medio;0.0345;0.048;7
M;0.345;0.255;0.09;0.2005;medio;0.0295;0.063;9
F;0.405;0.325;0.11;0.3555;medio;0.063;0.117;9
M;0.375;0.285;0.095;0.253;medio;0.0575;0.0925;9
F;0.565;0.445;0.155;0.826;medio;0.2055;0.2475;10
F;0.55;0.45;0.145;0.741;medio;0.1435;0.2665;10
M;0.65;0.52;0.19;1.3445;pesado;0.306;0.4465;16
M;0.56;0.455;0.155;0.797;medio;0.19;0.2425;11
M;0.475;0.375;0.13;0.5175;medio;0.1165;0.17;10
F;0.49;0.38;0.125;0.549;medio;0.1075;0.174;10
M;0.46;0.35;0.12;0.515;medio;0.108;0.1565;10
I;0.28;0.205;0.08;0.127;medio;0.039;0.042;9
I;0.175;0.13;0.055;0.0315;medio;0.0065;0.0125;5
I;0.17;0.13;0.095;0.03;medio;0.008;0.01;4
M;0.59;0.475;0.145;1.053;medio;0.262;0.325;15
F;0.605;0.5;0.185;1.1185;medio;0.2585;0.335;9
F;0.635;0.515;0.19;1.3715;pesado;0.305;0.45;10
F;0.605;0.485;0.16;1.0565;medio;0.2355;0.355;10
F;0.565;0.45;0.135;0.9885;medio;0.1495;0.31;12
M;0.515;0.405;0.13;0.722;medio;0.131;0.21;10
F;0.575;0.46;0.19;0.994;medio;0.2425;0.34;13
M;0.645;0.485;0.215;1.514;pesado;0.2615;0.635;16
F;0.58;0.455;0.17;0.9075;medio;0.2135;0.285;13
F;0.575;0.46;0.165;1.124;medio;0.1785;0.44;13
M;0.605;0.465;0.165;1.056;medio;0.2475;0.34;13
F;0.605;0.485;0.16;1.222;pesado;0.2575;0.28;-1300
M;0.61;0.485;0.175;1.2445;pesado;0.297;0.345;12
F;0.725;0.56;0.21;2.141;pesado;0.398;1.005;18
F;0.65;0.545;0.23;1.752;pesado;0.2895;0.815;16
M;0.725;0.57;0.19;2.55;muy pesado;0.483;0.725;14
F;0.725;0.575;0.175;2.124;pesado;0.4515;0.85;20
F;0.68;0.57;0.205;1.842;pesado;0.408;0.65;20
M;0.705;0.56;0.22;1.981;pesado;0.3085;0.76;14
F;0.68;0.515;0.175;1.6185;pesado;0.409;0.62;12
M;0.695;0.55;0.215;1.9565;pesado;0.541;0.59;14
F;0.53;0.395;0.145;0.775;medio;0.169;0.255;7
M;0.525;0.435;0.155;1.065;medio;0.233;0.285;8
F;0.52;0.405;0.115;0.776;medio;0.1845;0.22;8
I;0.235;0.16;0.04;0.048;medio;0.018;0.015;5
I;0.36;0.26;0.09;0.1785;medio;0.037;0.075;7
I;0.315;0.21;0.06;0.125;medio;0.0375;0.035;5
I;0.315;0.245;0.085;0.1435;medio;0.0475;0.05;8
I;0.225;0.16;0.045;0.0465;medio;0.015;0.015;4
M;0.58;0.475;0.15;0.97;medio;0.2165;0.35;11
M;0.57;0.48;0.18;0.9395;medio;0.2;0.295;14
M;0.64;0.51;0.175;1.368;pesado;0.266;0.57;21
F;0.56;0.45;0.16;1.0235;medio;0.268;0.3;10
F;0.62;0.475;0.175;1.0165;medio;0.214;0.325;10
F;0.645;0.51;0.2;1.5675;pesado;0.367;0.46;12
M;0.62;0.49;0.19;1.218;pesado;0.2965;0.355;13
F;0.63;0.48;0.15;1.0525;medio;0.336;0.285;12
F;0.63;0.5;0.185;1.383;pesado;0.3315;0.38;10
F;0.63;0.48;0.16;1.199;pesado;0.335;0.315;11
F;0.585;0.46;0.17;0.9325;medio;0.271;0.29;9
M;0.615;0.48;0.18;1.1595;medio;0.2165;0.325;13
M;0.61;0.485;0.17;1.0225;medio;0.2405;0.36;12
M;0.58;0.45;0.15;0.927;medio;0.1815;0.36;14
I;0.355;0.275;0.085;0.22;medio;0.06;0.15;8
F;0.51;0.4;0.14;0.8145;medio;0.1965;0.195;10
M;0.5;0.405;0.155;0.772;medio;0.1535;0.245;12
F;0.505;0.41;0.15;0.644;medio;0.145;0.21;11
M;;0.5;0.185;1.3035;medio;0.2635;0.465;16
M;0.56;0.45;0.16;0.922;medio;0.178;0.26;15
M;0.585;0.46;0.185;0.922;medio;0.213;0.285;10
F;0.45;0.345;0.12;0.4165;medio;0.095;0.135;9
M;0.5;0.4;0.165;0.825;medio;0.205;0.285;13
F;0.5;0.4;0.145;0.63;medio;0.1465;0.23;12
F;0.53;0.435;0.17;0.8155;medio;0.155;0.275;13
M;0.42;0.335;0.115;0.369;medio;0.071;0.12;8
F;0.44;0.34;0.14;0.482;medio;0.1085;0.16;9
I;0.4;0.3;0.11;0.315;medio;0.067;0.12;9
I;0.435;0.34;0.11;0.3795;medio;0.085;0.12;8
F;0.525;0.415;0.17;0.8325;medio;0.1685;0.31;13
I;0.37;0.28;0.095;0.2655;medio;0.052;0.08;7
F;0.49;0.365;0.145;0.6345;medio;0.1625;0.22;10
M;0.335;0.25;0.09;0.181;medio;0.0415;0.06;7
F;0.415;0.325;0.105;0.38;medio;0.0785;0.12;12
M;0.5;0.405;0.14;0.6155;medio;0.1355;0.205;9
F;0.485;0.395;0.16;0.66;medio;0.128;0.235;14
M;0.55;0.405;0.14;0.8025;medio;0.1635;0.255;10
M;0.45;0.35;0.13;0.46;medio;0.111;0.135;8
I;0.405;0.3;0.12;0.324;medio;0.07;0.11;7
M;0.47;0.36;0.135;0.501;medio;0.115;0.165;10
F;0.415;0.305;0.13;0.32;medio;0.0755;0.105;8
F;0.445;0.325;0.125;0.455;medio;0.1125;0.14;9
F;0.47;0.35;0.145;0.5175;medio;0.1235;0.18;11
F;0.49;0.375;0.15;0.5755;medio;0.144;0.19;9000
F;0.445;0.355;0.15;0.485;medio;0.125;0.155;11
I;0.425;0.38;0.105;0.3265;medio;0.0785;0.1;10
F;0.5;0.37;0.135;0.45;medio;0.1055;0.155;9
F;0.39;0.29;0.125;0.3055;medio;0.082;0.09;7
I;0.365;0.27;0.085;0.205;medio;0.0485;0.07;7
F;0.58;0.465;0.165;1.1015;medio;0.2095;0.35;11
F;0.53;0.415;0.16;0.783;medio;0.158;0.245;15
M;0.555;0.445;0.135;0.836;medio;0.1625;0.275;13
M;0.565;0.44;0.175;0.9025;medio;0.193;0.325;14
M;0.625;0.505;0.215;1.4455;medio;0.287;0.435;22
I;0.275;0.215;0.075;0.1155;medio;0.029;0.035;7
I;0.44;0.35;0.135;0.435;medio;0.083;0.125;12
I;0.295;0.225;0.08;0.124;medio;0.032;0.04;9
I;0.075;0.055;0.01;0.002;liviano;0.0005;0.0015;1
I;0.13;0.1;0.03;0.013;liviano;0.003;0.004;3
I;0.11;0.09;0.03;0.008;liviano;0.002;0.003;3
I;0.16;0.12;0.035;0.021;liviano;0.0045;0.005;5
M;0.565;0.425;0.16;0.9425;medio;0.2185;0.275;17
I;;0.2;0.07;0.1;medio;0.0245;0.035;5
I;0.23;0.175;0.065;0.0645;medio;0.0105;0.02;5
I;0.3;0.23;0.08;0.1275;medio;0.0265;0.04;8
I;0.33;0.255;0.085;0.1655;medio;0.039;0.06;8
I;0.35;0.26;0.085;0.174;medio;0.0345;0.06;10
I;0.32;0.245;0.08;0.1585;medio;0.0325;0.05;13
I;0.36;0.275;0.085;0.1975;medio;0.0415;0.07;9
I;0.305;0.245;0.075;0.156;medio;0.038;0.045;7
I;0.345;0.27;0.11;0.2135;medio;0.0545;0.07;7
I;0.33;0.25;0.105;0.1715;medio;0.035;0.06;7
M;0.59;0.47;0.18;1.1235;medio;0.2805;0.36;13
F;0.595;0.455;0.155;1.0605;pesado;0.2165;0.3;12
F;0.575;0.46;0.185;1.094;medio;0.217;0.345;15
M;0.6;0.495;0.165;1.2415;medio;0.2775;0.34;15
M;0.56;0.45;0.175;1.011;medio;0.2065;0.37;15
M;0.56;0.45;0.185;1.07;medio;0.175;0.41;19
M;0.545;0.46;0.16;0.8975;medio;0.1655;0.345;10
F;0.635;0.505;0.17;1.415;pesado;0.297;0.365;15
F;0.59;0.475;0.16;1.1015;medio;0.2555;0.295;13
F;0.54;0.475;0.155;0.928;medio;0.194;0.26;11
F;0.57;0.44;0.125;0.865;medio;0.1725;0.27;12
M;0.53;0.42;0.165;0.8945;medio;0.239;0.245;11
I;0.245;0.195;0.06;0.095;medio;0.0245;0.026;4
M;0.27;0.2;0.08;0.1205;medio;0.028;0.04;6
F;0.46;0.38;0.13;0.639;medio;0.1525;0.16;11
M;0.52;0.45;0.15;0.895;medio;0.186;0.235;14
M;0.35;0.275;0.11;0.2925;medio;0.0635;0.0905;8
M;0.47;0.39;0.15;0.6355;medio;0.0885;0.255;9
F;0.45;0.36;0.125;0.4995;medio;0.1;0.17;13
F;0.64;0.525;0.215;1.779;medio;0.2855;0.55;22
M;0.59;0.5;0.2;1.187;medio;0.2705;0.37;16
M;0.62;0.485;0.205;1.219;medio;0.2505;0.385;14
M;0.63;0.505;0.225;1.525;pesado;0.3335;0.45;15
M;0.63;0.515;0.155;1.259;medio;0.197;0.41;13
M;0.655;0.54;0.215;1.844;pesado;0.327;0.585;22
F;0.66;0.53;0.185;1.3485;medio;0.245;0.49;12
M;0.61;0.5;0.24;1.642;pesado;0.3345;0.69;18
M;0.635;0.525;0.205;1.484;pesado;0.3115;0.43;20
F;0.515;0.425;0.135;0.712;medio;0.1605;0.25;11
F;0.535;0.415;0.185;0.8415;medio;0.1585;0.3;15
I;0.36;0.285;0.105;0.2415;medio;0.057;0.075;7
F;0.455;0.355;0.12;0.4495;medio;0.104;0.15;9
M;0.485;0.395;0.14;0.6295;medio;0.127;0.225;14
M;0.515;0.38;0.175;0.9565;medio;0.158;0.31;14
F;0.535;0.415;0.17;0.879;medio;0.1965;0.285;10
M;0.53;0.435;0.155;0.699;medio;0.1595;0.205;4599
F;0.495;0.4;0.155;0.6445;medio;0.1325;0.205;17
M;;0.355;0.125;0.4775;medio;0.0815;0.19;9
F;0.535;0.435;0.16;0.8105;medio;0.1795;0.24;10
M;0.54;0.435;0.18;0.996;medio;0.226;0.325;17
F;0.565;0.505;0.21;1.2765;pesado;0.279;0.355;12
M;0.61;0.475;0.165;1.116;medio;0.2205;0.315;15
F;0.565;0.455;0.175;1.013;medio;0.207;0.35;19
M;0.6;0.495;0.195;1.0575;medio;0.19;0.375;26
I;0.295;0.215;0.085;0.128;medio;0.034;0.04;6
I;0.275;0.205;0.075;0.1105;medio;0.0285;0.035;6
I;0.28;0.21;0.085;0.1065;medio;0.0295;0.03;4
M;0.49;0.395;0.14;0.549;medio;0.1275;0.15;11
M;0.37;0.28;0.105;0.234;medio;0.0585;0.075;9
F;0.405;0.305;0.095;0.3485;medio;0.0895;0.1;9
F;0.54;0.435;0.175;0.892;medio;0.174;0.335;13
M;0.37;0.28;0.1;0.252;medio;0.0595;0.074;8
M;0.36;0.27;0.1;0.217;medio;0.0495;0.0715;6
F;0.47;0.36;0.13;0.472;medio;0.114;0.15;10
I;0.2;0.145;0.06;0.037;medio;0.0095;0.011;4
I;0.165;0.12;0.03;0.0215;liviano;0.005;0.005;3
M;0.645;0.515;0.24;1.5415;medio;0.369;0.535;13
M;0.55;0.41;0.125;0.7605;medio;0.1635;0.195;14
M;0.57;0.435;0.145;0.9055;medio;0.2355;0.275;10
F;0.63;0.485;0.19;1.2435;medio;0.3055;0.39;21
M;0.56;0.44;0.14;0.971;medio;0.2045;0.265;14
M;0.595;0.455;0.195;1.3305;medio;0.3235;0.345;19
F;0.62;0.47;0.2;1.2255;medio;0.27;0.435;23
M;0.63;0.485;0.175;1.3;medio;0.2945;0.46;23
I;0.45;0.355;0.11;0.4585;medio;0.067;0.14;8
F;0.635;0.535;0.19;1.242;pesado;0.2475;0.39;14
M;0.45;0.35;0.1;0.3675;medio;0.1015;0.12;10
F;0.58;0.455;0.155;0.8365;medio;0.1385;0.32;18
I;0.33;0.255;0.095;0.172;medio;0.0255;0.06;6
I;0.265;0.21;0.06;0.0965;medio;0.022;0.03;5
I;0.19;0.145;0.04;0.038;medio;0.0065;0.015;4
M;0.385;0.31;0.1;0.2845;medio;0.075;0.1;11
I;0.265;0.205;0.07;0.1055;medio;0.041;0.035;5
M;0.335;0.265;0.105;0.222;medio;0.056;0.075;7
I;0.355;0.275;0.09;0.251;medio;0.053;0.08;7
I;0.32;0.255;0.1;0.1755;medio;0.0415;0.065;7
M;0.51;0.4;0.13;0.6435;medio;0.1665;0.205;12
M;0.36;0.295;0.105;0.241;medio;0.053;0.095;8
I;0.36;0.28;0.09;0.2255;medio;0.04;0.09;8
M;0.5;0.38;0.155;0.5955;medio;0.161;0.2;12
F;0.4;0.325;0.12;0.3185;medio;0.0565;0.095;8
I;0.3;0.22;0.08;0.121;medio;0.042;0.035;5
